community,unit_price,hourseSize,fitment,总价
雍翠豪园,55229.0,56.13,精装,310.0
海洋大厦,42997.0,44.19,精装,190.0
联城美园,65046.0,34.13,精装,222.0
大滩大厦,43110.0,67.27,简装,290.0
虹桥星座大厦,50601.0,31.62,精装,160.0
港澳8号,39909.0,65.9,精装,263.0
万科桂苑,58283.0,97.8,精装,570.01
聚宝花园,51638.0,91.02,简装,470.01
碧湖花园,43414.0,107.11,简装,465.01
曲尺楼,44833.0,82.53,简装,370.01
彩世界家园,47980.0,68.78,简装,330.01
东港中心,39902.0,52.63,简装,210.0
日豪名园,49808.0,52.0,精装,259.0
港澳8号,41667.0,67.2,精装,280.0
国际名园,43526.0,45.95,精装,200.0
港岛银座,46286.0,41.05,精装,190.0
聚福花园,44579.0,117.32,精装,523.0
方海商苑,36922.0,86.67,简装,320.0
汇锦名园,61208.0,86.59,精装,530.0
碧水园,47294.0,99.38,精装,470.01
中威联实业有限公司工会宿舍,48099.0,87.32,精装,420.0
叠翠居,65147.0,58.33,精装,380.0
云峰花园,37912.0,105.51,简装,400.01
百仕达东郡,89446.0,126.11,精装,1128.0
集浩大厦,42377.0,62.77,精装,266.0
京基东方都会,46912.0,25.58,简装,120.0
名仕阁,47095.0,56.27,简装,265.0
雅仕居,48615.0,20.57,精装,100.0
天越翔园,56667.0,45.0,简装,255.0
深港豪苑,49238.0,83.27,精装,410.0
美荔园,59186.0,126.72,简装,750.0
龙园山庄,39409.0,62.93,简装,248.0
双城世纪,53325.0,31.88,精装,170.0
京基一百大厦,70717.0,31.11,简装,220.0
鸿隆世纪广场,45181.0,99.6,精装,450.0
国都花园,47991.0,88.56,简装,425.01
大信大厦,35262.0,90.75,简装,320.0
蓝馨苑,78234.0,28.76,简装,225.0
华清园,37914.0,32.97,简装,125.0
骏庭名园,46424.0,45.02,简装,209.0
城市天地广场,45495.0,57.15,精装,260.0
和平广场,52071.0,83.54,精装,435.0
长丰苑,42679.0,45.69,精装,195.0
翠竹苑,68520.0,77.35,简装,530.0
凯悦华庭,45986.0,68.5,精装,315.0
红桂皇冠,43374.0,41.5,简装,180.0
大地花园,39275.0,52.96,精装,208.0
东海大厦,37908.0,94.44,简装,358.0
海关草埔生活区,42658.0,77.36,精装,330.0
兰亭国际名园,49625.0,133.0,精装,660.01
庐峰翠苑,65716.0,124.78,精装,820.0
雍翠豪园,50820.0,61.0,精装,310.0
梧桐山新居,48334.0,80.69,简装,390.01
玉雅居,50840.0,42.29,简装,215.0
金丽豪苑,63912.0,114.22,精装,730.0
置地逸轩,55852.0,46.91,简装,262.0
金洲花园,44104.0,70.29,精装,310.01
鹏兴花园一期,50527.0,78.77,精装,398.0
阳光新干线家园,57031.0,61.02,精装,348.0
鸿隆世纪广场,43552.0,130.42,简装,568.01
嘉宝田花园,71041.0,88.4,简装,628.0
鹏瑞仙桐雅轩罗湖区,53014.0,68.85,精装,365.0
梧桐山新居,52830.0,63.98,精装,338.01
四季御园,65195.0,102.77,简装,670.01
御景兰庭,70595.0,73.66,精装,520.0
蓝馨苑,66616.0,65.0,精装,433.0
翠怡苑,44917.0,91.28,精装,410.0
名骏豪庭,52169.0,67.09,精装,350.0
深中街,52424.0,85.84,简装,450.01
百仕达乐湖,74254.0,115.82,精装,860.01
梧桐山新居,55108.0,50.81,精装,280.0
嘉宝田花园,60543.0,109.84,简装,665.0
都市名园,56351.0,105.59,其他,595.01
鸿隆世纪广场,45129.0,97.5,简装,440.01
南洋大厦,45218.0,57.5,简装,260.0
湖馨苑,76374.0,40.59,精装,310.0
曲尺楼,50891.0,70.15,精装,357.0
鹏兴花园五期,63283.0,72.69,精装,460.0
嘉宝田花园,96660.0,93.11,精装,900.0
罗湖医院医疗科技楼,39904.0,104.0,简装,415.0
嘉景苑,54323.0,64.43,精装,350.0
洪湖花园,47985.0,83.36,精装,400.0
庐峰翠苑,64113.0,124.78,精装,800.0
合正荣悦,93514.0,50.26,精装,470.0
龙园山庄,39499.0,101.27,简装,400.01
东兴大院,55979.0,89.32,简装,500.0
红群楼,58290.0,89.21,其他,520.01
四季御园,61044.0,90.1,简装,550.01
怡泰大厦,23118.0,28.55,精装,66.0
怡都大厦,27938.0,109.89,精装,307.01
湖溪大厦,41231.0,58.21,精装,240.01
桃花园,56439.0,43.41,简装,245.0
金园花园,57963.0,65.56,精装,380.01
碧湖花园,44839.0,91.44,简装,410.01
TCL雅馨居,46881.0,28.37,简装,133.0
庐山花园,42354.0,43.68,精装,185.0
同乐大厦,39982.0,64.03,精装,256.0
京基东方颐园,82559.0,43.0,精装,355.0
金洲花园,45569.0,63.64,简装,290.0
港岛银座,41821.0,59.78,简装,250.01
粤海花园,37814.0,87.27,精装,330.0
锦上花家园,51748.0,51.21,精装,265.0
笋岗大厦,42942.0,55.89,精装,240.0
清水河生活小区,59687.0,40.21,简装,240.0
汇泰大厦,60284.0,39.48,精装,238.0
凤凰印象,71280.0,62.43,精装,445.0
名骏豪庭,47205.0,68.85,简装,325.01
东门168,64218.0,61.51,精装,395.0
联城美园,54970.0,36.02,精装,198.0
朗钜御风庭,52006.0,47.11,精装,245.0
东门天下,57307.0,66.31,精装,380.0
南塘物业小区,41053.0,53.59,简装,220.0
港澳8号,41272.0,48.46,精装,200.0
钻石时代,46007.0,27.17,简装,125.0
嘉宝田花园,68473.0,65.72,简装,450.0
广东省银行大厦,36745.0,78.38,精装,288.01
置地逸轩,62164.0,53.89,简装,335.0
朗钜御风庭,55455.0,44.18,精装,245.0
国际名园,43732.0,24.01,简装,105.0
港澳8号,45402.0,42.51,精装,193.0
金城华庭,78233.0,36.43,精装,285.0
翠拥华庭,55002.0,87.27,精装,480.0
鸿翔花园,65265.0,55.16,简装,360.0
明华广场,41061.0,58.45,简装,240.0
名仕阁,47365.0,58.06,精装,275.0
京基东方颐园,74244.0,91.59,精装,680.0
美荔园,67723.0,82.69,精装,560.0
雍翠豪园,57402.0,39.72,精装,228.0
金城大厦,46487.0,37.0,精装,172.0
金洲花园,44913.0,77.93,精装,350.01
田心大厦,44624.0,47.06,简装,210.0
翠拥华庭,68889.0,45.0,精装,310.0
谱心苑,48719.0,55.01,简装,268.0
凯悦华庭,51863.0,63.63,精装,330.0
东乐花园,38842.0,95.26,精装,370.01
铂金时代罗湖,48408.0,39.87,精装,193.0
金城华庭,80438.0,55.82,精装,449.0
都心名苑,57279.0,35.79,简装,205.0
南塘物业小区,38370.0,75.58,简装,290.0
名仕阁,49445.0,54.0,精装,267.0
和平广场,52967.0,62.87,精装,333.0
新风花园,47254.0,50.79,精装,240.0
田心大厦,41393.0,47.11,简装,195.0
旭飞华天苑,38829.0,28.33,简装,110.0
红桂皇冠,46636.0,30.02,简装,140.0
云景豪园,48926.0,72.56,精装,355.01
金城华庭,77475.0,37.69,精装,292.0
MR.91公馆,45420.0,39.19,简装,178.0
骏庭名园,50389.0,57.95,简装,292.0
东湖丽苑,52641.0,60.41,精装,318.0
红桂皇冠,43780.0,41.8,简装,183.0
华达园公寓,40940.0,28.09,简装,115.0
银晖名居,48617.0,26.74,简装,130.0
德兴大厦,47245.0,38.1,精装,180.0
TCL雅馨居,47586.0,28.37,精装,135.0
东门168,73829.0,24.11,简装,178.0
庐江春天公寓,41180.0,52.21,简装,215.0
雅仕居,52247.0,19.14,简装,100.0
蓝馨苑,67243.0,63.65,精装,428.0
青橙时代,66715.0,27.73,精装,185.0
城市天地广场,43046.0,59.24,精装,255.0
星桂园,59305.0,24.45,精装,145.0
国际名园,49812.0,23.89,简装,119.0
港岛银座,46129.0,43.14,精装,199.0
洪湖二街十号大院,54607.0,71.42,简装,390.0
万事达名苑,53319.0,54.39,精装,290.0
京基一百大厦,77587.0,58.0,精装,450.0
新银座华庭,50000.0,24.0,简装,120.0
南塘物业小区,46682.0,21.85,简装,102.0
星湖花园,51060.0,64.63,简装,330.0
仙桐馨苑,53857.0,28.78,简装,155.0
金城华庭,78479.0,37.59,精装,295.0
星桂园,58315.0,26.58,简装,155.0
深业东岭,67100.0,44.71,精装,300.0
旭飞华天苑,42239.0,28.41,精装,120.0
联城美园,57614.0,36.45,精装,210.0
深城公寓,53797.0,52.42,精装,282.0
鸿翔花园,65455.0,55.0,精装,360.0
丰湖花园,46188.0,45.9,精装,212.0
时尚新居,43265.0,32.59,精装,141.0
绿茵庭苑,45326.0,63.54,精装,288.0
书院街5号大院,60882.0,78.02,精装,475.0
星桂园,58315.0,26.58,精装,155.0
百仕达东郡,68290.0,80.54,精装,550.01
广东省公安厅深圳出入境签证办事处综合楼,51704.0,108.31,简装,560.01
源兴居,74662.0,21.43,精装,160.0
鸿翔花园,43191.0,34.73,简装,150.0
嘉景苑,53684.0,33.53,简装,180.0
心怡花园,50951.0,82.04,简装,418.0
名都大厦,68423.0,36.83,精装,252.0
锦缘里嘉园,65214.0,51.37,精装,335.0
名骏豪庭,50000.0,43.0,精装,215.0
京基东方颐园,80012.0,69.49,精装,556.0
鹏公馆,114567.0,36.66,精装,420.0
龙园苑,42842.0,72.36,精装,310.0
愉天小区,125715.0,35.0,简装,440.0
怡景花园,72411.0,54.55,简装,395.0
梨园公寓,59727.0,36.5,其他,218.0
外贸大院,59303.0,72.51,简装,430.01
丹枫白露城东1号,40930.0,68.41,精装,280.0
和平广场,53268.0,83.54,精装,445.0
万科桂苑,70506.0,127.65,精装,900.01
鸿锦阁,42803.0,70.09,精装,300.01
中海天钻,85301.0,120.75,毛坯,1030.01
绿景山庄,43846.0,93.51,精装,410.0
虹桥星座大厦,52084.0,28.8,简装,150.0
名骏豪庭,49343.0,42.56,精装,210.0
旺业豪苑,52600.0,48.48,简装,255.0
翠盈嘉园,55617.0,82.71,简装,460.01
岭南公司住宅楼,46130.0,94.3,简装,435.01
莲馨家园,62974.0,89.72,精装,565.0
阳光绿地家园,58957.0,39.86,精装,235.0
翠盈嘉园,56534.0,69.87,精装,395.0
庐江春天公寓,45586.0,52.21,精装,238.0
中信星光名庭,68208.0,71.84,精装,490.01
罗湖大厦,43939.0,55.76,精装,245.0
合正星园,86859.0,105.92,精装,920.01
东门168,77764.0,22.89,简装,178.0
经典家园,57448.0,121.85,精装,700.0
港岛银座,45798.0,41.05,精装,188.0
虹桥星座大厦,50348.0,28.8,精装,145.0
金迪名苑,97341.0,36.47,简装,355.0
东门天下,60785.0,51.0,精装,310.0
凤凰印象,70708.0,43.56,精装,308.0
聚宝花园,43705.0,78.94,精装,345.01
鹏公馆,101567.0,40.86,精装,415.0
东门168,61131.0,39.26,简装,240.0
祥福雅居,56452.0,31.0,简装,175.0
旺业豪苑,50749.0,80.79,精装,410.0
田心庆云花园,40786.0,91.21,简装,372.01
新世界鹿茵翠地,52123.0,105.52,精装,550.0
鸿翔花园,43372.0,44.96,精装,195.0
龙屋小区,68328.0,95.13,简装,650.0
世界金融中心,57778.0,45.0,精装,260.0
缤纷时代家园,80807.0,60.02,精装,485.0
嘉宝田花园,82154.0,92.51,精装,760.01
海富花园,43149.0,72.54,精装,313.0
鹏兴花园一期,50848.0,103.25,简装,525.01
丰湖花园,42709.0,81.95,精装,350.0
风格名苑,64371.0,31.07,简装,200.0
祥福雅居,60241.0,36.52,精装,220.0
东湖大厦,45605.0,103.06,其他,470.01
城市天地广场,51938.0,50.06,精装,260.0
新银座华庭,51783.0,23.56,简装,122.0
景贝北小区,60976.0,73.8,其他,450.0
鸿翔花园,81544.0,100.56,其他,820.01
华丽小区,61964.0,83.92,其他,520.0
深业东岭,67073.0,64.11,其他,430.01
经典家园,75502.0,56.29,简装,425.0
东门天下,61831.0,66.31,其他,410.0
城市天地广场,50400.0,57.54,其他,290.0
东门168,82323.0,23.08,其他,190.0
怡泰大厦,23711.0,33.74,精装,80.0
鹏兴花园一期,54297.0,95.77,简装,520.0
雍翠豪园,57302.0,61.08,其他,350.0
双城世纪,46847.0,72.15,其他,338.0
鹏兴花园二期,65022.0,104.58,精装,680.0
卧龙阁,46518.0,83.84,其他,390.01
东门168,93848.0,19.18,精装,180.0
缤纷时代家园,90855.0,33.02,其他,300.0
合正星园,90724.0,112.43,精装,1020.01
洪湖路54号,40938.0,97.71,其他,400.01
鹏公馆,132143.0,28.0,精装,370.0
大澎花园,46104.0,79.17,其他,365.01
幸福里雅居,87562.0,94.79,精装,830.0
深业东岭,69205.0,92.48,精装,640.01
新天地名居,60955.0,86.95,精装,530.0
名都大厦,69793.0,56.74,简装,396.01
粤鹏大厦,33682.0,89.07,简装,300.01
泊林花园,63032.0,68.22,其他,430.0
红桂皇冠,44866.0,30.09,精装,135.0
置地逸轩,58017.0,56.88,精装,330.0
南塘物业小区,40120.0,53.59,简装,215.0
合正锦湖魅力城,69429.0,89.3,简装,620.0
旭飞华天苑,45514.0,15.38,简装,70.0
旭飞华天苑,42386.0,20.29,简装,86.0
怡景花园,60000.0,105.0,简装,630.0
湖景大厦,50542.0,138.5,精装,700.01
华隆园,59932.0,29.2,简装,175.0
深业东岭,64054.0,39.03,简装,250.0
合正锦湖魅力城,61114.0,44.18,精装,270.0
深业东岭,69296.0,41.85,精装,290.0
深业东岭,68861.0,55.91,简装,385.0
京基东方颐园,89014.0,42.69,精装,380.0
阳光新干线家园,49679.0,38.85,精装,193.0
深业东岭,67576.0,85.83,简装,580.0
港澳8号,47400.0,41.14,简装,195.0
深业东岭,61751.0,62.51,精装,386.01
怡都大厦,32318.0,86.64,简装,280.0
鸿翔花园,74777.0,74.89,简装,560.0
海洋大厦,57221.0,36.7,简装,210.0
缤纷时代家园,72738.0,68.74,精装,500.0
京基一百大厦,70604.0,31.16,精装,220.0
华裕花园,54402.0,52.94,精装,288.0
美景大厦,47583.0,52.54,精装,250.0
阳光新干线家园,51119.0,62.6,精装,320.0
祥福雅居,50000.0,31.0,简装,155.0
旭飞华天苑,42655.0,21.1,简装,90.0
TCL雅馨居,48643.0,28.37,精装,138.0
深业东岭,70904.0,74.75,精装,530.01
红桂皇冠,49229.0,37.58,其他,185.0
缤纷时代家园,89044.0,25.83,简装,230.0
阳光天地家园,127389.0,39.25,简装,500.0
东门168,78242.0,26.84,其他,210.0
深港豪苑,22223.0,135.0,其他,300.01
田苑小区,77092.0,86.91,精装,670.01
凉果街2号大院,58163.0,75.65,其他,440.0
龙园山庄,37706.0,80.89,简装,305.0
金园花园,58150.0,36.63,简装,213.0
愉天小区,124880.0,41.64,简装,520.0
京基东方华都,81608.0,31.86,精装,260.0
大鹏阁,21897.0,86.77,简装,190.0
中信星光名庭,67472.0,77.07,简装,520.01
鹏公馆,149593.0,23.33,其他,349.0
大中华汇展阁,28829.0,43.36,其他,125.0
深港豪苑,52998.0,150.95,简装,800.0
鸿翔花园,82804.0,103.86,精装,860.0
蕙兰雅居,55043.0,96.29,简装,530.01
兰亭国际名园,52760.0,160.92,简装,849.01
凯悦华庭,44780.0,45.78,简装,205.0
汇商名苑,30590.0,104.61,简装,320.0
嘉多利花园,87727.0,113.99,简装,1000.0
新银座华庭,52965.0,67.97,精装,360.0
雍翠豪园,49885.0,56.13,精装,280.0
万事达名苑,51351.0,71.08,简装,365.0
庐山花园,40016.0,75.47,简装,302.0
万科东方尊峪,62049.0,88.64,精装,550.0
锦上花家园,51198.0,60.55,简装,310.0
山湖居,49711.0,84.49,简装,420.01
鹏兴花园一期,52658.0,79.76,简装,420.0
缤纷时代家园,75196.0,95.75,精装,720.0
金城华庭,80843.0,53.19,精装,430.0
鹏兴花园一期,52962.0,103.85,精装,550.01
佳宁娜广场,41037.0,96.5,简装,396.01
集浩花园,50291.0,139.19,其他,700.0
鸿业苑一期,61275.0,195.84,精装,1200.01
集浩花园,48855.0,139.19,简装,680.01
龙园山庄,36991.0,102.73,精装,380.01
润唐山庄,66495.0,147.38,简装,980.0
淘金山一期,64804.0,172.83,精装,1120.01
幸福里雅居,101627.0,186.96,精装,1900.02
大澎花园,48655.0,96.6,精装,470.01
莲通楼,44393.0,94.61,精装,420.0
锦上花家园,50918.0,60.49,精装,308.0
鹏瑞仙桐雅轩罗湖区,54946.0,85.54,精装,470.01
中山花园大厦,48328.0,107.6,精装,520.01
淘金山一期,72180.0,193.96,精装,1400.0
旺业豪苑,45788.0,141.96,精装,650.01
双城世纪,51806.0,31.85,简装,165.0
京基东方都会,54764.0,35.06,精装,192.0
旭飞华达园,49109.0,38.69,精装,190.0
金色年华家园,68656.0,37.87,精装,260.0
源兴居,56089.0,53.13,其他,298.0
龙旺大厦,48929.0,91.97,简装,450.0
百仕达东郡,76441.0,76.53,精装,585.0
梧桐山新居,50490.0,75.66,精装,382.01
名骏豪庭,49279.0,85.23,精装,420.0
四季御园,66291.0,70.9,精装,470.0
鹏兴花园五期,59724.0,80.37,精装,480.0
万科东方尊峪,68478.0,175.24,精装,1200.01
逸翠园,63514.0,65.34,精装,415.0
海丽大厦,50234.0,83.61,简装,420.01
汇鑫花园,56537.0,64.56,精装,365.0
翠拥华庭,58783.0,71.45,简装,420.0
鹏基公寓,40013.0,31.99,精装,128.0
金鼎大厦,45054.0,52.16,简装,235.0
松泉山庄,47496.0,88.43,简装,420.01
合正锦湖魅力城,68519.0,80.27,精装,550.0
万科东方尊峪,70615.0,182.4,精装,1288.02
港岛银座,56360.0,102.91,精装,580.0
仙湖枫景家园,60308.0,63.01,精装,380.0
海关草埔生活区,41939.0,94.9,简装,398.0
大滩大厦,45400.0,66.08,简装,300.0
华景园,54407.0,91.9,精装,500.0
鸣翠谷,56920.0,163.39,简装,930.02
汇鑫花园,49521.0,92.89,精装,460.0
新天地名居,59246.0,54.35,精装,322.0
海洋大厦,56647.0,75.91,简装,430.01
鹏基公寓,41770.0,32.32,简装,135.0
明华广场,39864.0,58.45,简装,233.01
锦缘里嘉园,75709.0,77.93,精装,590.0
金福大厦,57554.0,97.3,精装,560.0
东门金座,69684.0,55.68,精装,388.0
鸿隆世纪广场,46742.0,113.39,精装,530.01
万科东方尊峪,56158.0,124.65,精装,700.01
合正锦湖魅力城,69527.0,76.23,简装,530.0
鸿基大厦,45691.0,73.32,简装,335.01
金福大厦,61336.0,64.4,精装,395.0
鸿翠苑,61865.0,72.74,简装,450.01
龙园山庄,39255.0,71.33,简装,280.01
金安大厦,43739.0,88.71,精装,388.01
港逸豪庭,45315.0,55.17,简装,250.0
鸿翔花园,41555.0,40.91,简装,170.0
丹枫白露城东1号,44118.0,95.2,精装,420.0
翠园十五巷,95609.0,77.19,简装,738.01
四季御园,73265.0,85.99,精装,630.01
深华丽园,56878.0,114.28,精装,650.0
万科俊园,49118.0,244.31,简装,1200.0
碧波花园南区,57782.0,129.8,精装,750.01
万科东方尊峪,61306.0,174.21,精装,1068.01
南塘物业小区,43110.0,45.93,简装,198.0
都心名苑,74424.0,40.31,精装,300.0
城市天地广场,52163.0,52.72,精装,275.0
华达园公寓,47059.0,42.5,简装,200.0
东门168,67499.0,39.26,精装,265.0
聚福花园,49831.0,44.15,精装,220.0
聚龙大厦,64922.0,39.74,简装,258.0
紫荆花园,45904.0,42.48,精装,195.0
佳宁娜广场,45895.0,159.06,精装,730.01
海洋大厦,47284.0,45.47,精装,215.0
缤纷时代家园,78181.0,28.14,简装,220.0
鹏基公寓,41051.0,30.45,精装,125.0
文康楼,51118.0,26.41,简装,135.0
福德花园,57893.0,42.32,简装,245.0
海珑华苑,39787.0,87.97,简装,350.01
航天晴山月,71429.0,168.0,精装,1200.01
华丽东村,69726.0,88.92,精装,620.0
日豪名园,49165.0,61.02,精装,300.0
日豪名园,44502.0,69.66,简装,310.0
谱心苑,45156.0,77.51,精装,350.0
金色年华家园,57647.0,62.45,精装,360.01
和平广场,54069.0,75.83,精装,410.01
金丽豪苑,78082.0,89.65,精装,700.01
名骏豪庭,57456.0,64.05,精装,368.01
粤海花园,41171.0,89.87,精装,370.0
四季御园,60914.0,86.68,精装,528.0
都市名园,60055.0,80.76,精装,485.0
百仕达东郡,77959.0,305.29,简装,2380.01
云景豪园,59017.0,118.61,精装,700.0
泰和花园,50007.0,145.98,简装,730.0
深业东岭,73228.0,68.28,毛坯,500.0
嘉宾花园,41371.0,112.4,简装,465.01
鹏瑞仙桐雅轩罗湖区,56773.0,49.32,简装,280.0
凤凰印象,70902.0,70.52,其他,500.0
曦龙山庄,47135.0,229.13,精装,1080.0
齐明别墅,190487.0,356.98,精装,6800.0
洪湖东岸,56977.0,78.98,精装,450.0
佳宁娜广场,47610.0,101.87,其他,485.0
深纺黄贝住宅小区,52170.0,72.84,其他,380.01
金湖山庄,116220.0,387.2,简装,4500.04
云景梧桐花园,122034.0,295.0,毛坯,3600.0
合正锦湖魅力城,64035.0,75.74,精装,485.0
百仕达东郡,110988.0,99.11,精装,1100.0
百仕达花园一期,56667.0,150.0,精装,850.0
华清园,43323.0,72.71,精装,315.0
天井湖小区,44302.0,90.29,简装,400.0
四季御园,62493.0,81.29,毛坯,508.01
云景梧桐花园,86526.0,127.13,毛坯,1100.01
万科东方尊峪,52870.0,128.24,毛坯,678.0
双城世纪,48867.0,48.09,简装,235.0
百仕达花园二期,56025.0,166.0,精装,930.02
万事达名苑,48751.0,114.87,精装,560.0
云景梧桐花园,77281.0,126.81,毛坯,980.0
雍翠华府,52201.0,75.67,精装,395.0
深业东岭,76471.0,106.97,毛坯,818.01
仙桐御景,54574.0,96.2,简装,525.0
阳光明居,65472.0,70.26,简装,460.01
聚宝华府,71015.0,69.0,精装,490.0
百仕达花园一期,70496.0,113.34,精装,799.0
华景园,51143.0,91.9,简装,470.0
京基东方华都,67147.0,41.7,简装,280.0
百仕达东郡,72713.0,75.64,精装,550.0
蕙兰雅居,60108.0,91.17,简装,548.0
鸿园居,49925.0,66.1,精装,330.0
万科彩园,56451.0,194.86,简装,1100.0
百仕达东郡,76833.0,76.53,精装,588.0
万科东方尊峪,56422.0,157.74,精装,890.0
虹桥星座大厦,68068.0,41.87,精装,285.0
新港鸿花园,59340.0,74.15,精装,440.01
新世界鹿茵翠地,63412.0,126.16,简装,800.01
新世界鹿茵翠地,54384.0,106.65,精装,580.01
深业东岭,76311.0,135.63,精装,1035.01
合正锦园,62617.0,107.0,精装,670.0
航天晴山月,58493.0,165.49,精装,968.0
京基东方华都,78722.0,41.92,其他,330.0
红桂皇冠,44977.0,41.8,简装,188.0
深业东岭,73435.0,69.45,精装,510.01
汇鑫花园,66190.0,129.93,精装,860.01
金色年华家园,62108.0,65.21,简装,405.01
四季御园,64600.0,154.8,精装,1000.01
百仕达乐湖,67901.0,117.82,精装,800.01
文华花园,43029.0,118.06,简装,508.0
合正锦园,114439.0,104.86,精装,1200.01
齐明别墅,108130.0,351.43,精装,3800.01
航天晴山月,82035.0,268.18,精装,2200.01
松泉山庄,40753.0,147.72,精装,602.0
东海大厦,41255.0,94.05,简装,388.0
骏庭名园,52999.0,96.23,简装,510.01
金城华庭,75674.0,89.86,精装,680.01
金色都汇,55421.0,45.11,其他,250.0
世界金融中心,45567.0,57.06,精装,260.01
新港鸿花园,100893.0,163.54,简装,1650.0
桐景花园,51755.0,106.27,精装,550.0
新港鸿花园,86992.0,298.88,精装,2600.02
华景园,150560.0,212.54,精装,3200.0
萃峰阁,47550.0,199.79,精装,950.0
莲塘供水住宅楼,46030.0,162.94,简装,750.01
金湖山庄,132769.0,177.0,精装,2350.01
怡景花园,109877.0,157.45,简装,1730.01
航天晴山月,77824.0,89.69,精装,698.0
华景园,110231.0,190.51,精装,2100.01
鹏兴花园一期,51758.0,119.79,精装,620.01
金湖山庄,123958.0,387.23,精装,4800.03
云景梧桐花园,135198.0,258.88,毛坯,3500.01
新世界鹿茵翠地,81666.0,220.41,精装,1800.0
航天晴山月,69975.0,165.49,精装,1158.02
四季御园,85332.0,117.19,精装,1000.01
源兴居,60306.0,92.86,精装,560.0
怡泰大厦,52971.0,96.28,其他,510.0
幸福里雅居,95522.0,188.44,精装,1800.02
深业东岭,71068.0,106.94,毛坯,760.0
云峰花园,45147.0,88.6,精装,400.0
合正锦园,142174.0,77.37,精装,1100.0
四季御园,61296.0,102.78,毛坯,630.0
海丰苑大厦,45223.0,64.57,简装,292.0
和平广场,55388.0,75.83,简装,420.01
金城华庭,79890.0,93.88,精装,750.01
翠珠小区,90993.0,86.82,其他,790.0
旺业豪苑,58163.0,51.58,其他,300.0
翠竹苑,76894.0,52.02,其他,400.0
百仕达花园一期,65365.0,123.92,简装,810.0
水贝供电局住宅小区,58450.0,70.83,简装,414.0
百仕达花园二期,66396.0,112.96,精装,750.01
鹏兴花园二期,70127.0,92.69,精装,650.01
东乐花园,58005.0,86.2,简装,500.0
鹏兴花园五期,63353.0,72.61,简装,460.01
新港鸿花园,52481.0,104.42,简装,548.01
合正荣悦,115409.0,142.97,精装,1650.0
鹏兴花园二期,59878.0,124.42,精装,745.0
太白居,60162.0,83.11,简装,500.01
东安花园,48479.0,82.51,简装,400.0
心怡花园,57033.0,100.82,简装,575.01
御庭轩罗湖,55777.0,143.43,精装,800.01
金鼎大厦,53602.0,76.49,精装,410.0
